id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1981-02-08,Malaysia,../vs/mas.html,A,L,0 - 1,0208.html,Kuantan,International Friendly
2,1981-02-10,Malaysia,../vs/mas.html,A,D,1 - 1,0210.html,Kuala Lumpur,International Friendly
3,1981-02-17,Singapore,../vs/sin.html,A,W,1 - 0,0217.html,"15,000",Singapore,International Friendly
4,1981-02-19,Singapore,../vs/sin.html,A,D,0 - 0,0219.html,Singapore,International Friendly
5,1981-02-24,Indonesia,../vs/idn.html,A,L,0 - 2,0224.html,Jakarta,International Friendly
6,1981-03-08,Korea Republic,../vs/kor.html,H,L,0 - 1,0308.html,"15,000",Tokyo,Japan-Korea Annual Match
7,1981-06-02,China PR,../vs/chn.html,H,D,0 - 0,0602.html,"7,000",Omiya,Japan Cup Kirin World Soccer
8,1981-06-19,Malaysia,../vs/mas.html,N,W,2 - 0,0619.html,Daegu,President's Cup Tournament
9,1981-06-21,Korea Republic,../vs/kor.html,A,L,0 - 2,0621.html,Busan,President's Cup Tournament
10,1981-08-30,Malaysia,../vs/mas.html,A,W,2 - 0,0830.html,Kuala Lumpur,Merdeka Tournament
11,1981-09-03,India,../vs/ind.html,N,W,3 - 2,0903.html,Kuala Lumpur,Merdeka Tournament
12,1981-09-08,United Arab Emirates,../vs/uae.html,N,W,3 - 2,0908.html,Kuala Lumpur,Merdeka Tournament
13,1981-09-14,Indonesia,../vs/idn.html,N,W,2 - 0,0914.html,Kuala Lumpur,Merdeka Tournament
14,1981-09-18,Iraq,../vs/irq.html,N,L,0 - 2,0918.html,Kuala Lumpur,Merdeka Tournament
