id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1996-02-10,Australia,../vs/aus.html,A,W,4 - 1,0210.html,"8,396",Wollongong,International Friendly
2,1996-02-14,Australia,../vs/aus.html,A,L,0 - 3,0214.html,"4,947",Melbourne,International Friendly
3,1996-02-19,Poland,../vs/pol.html,N,W,5 - 0,0219.html,"27,456",Hong Kong,Carlsberg Cup
4,1996-02-22,Sweden,../vs/swe.html,N,D,1 - 1,0222.html,P,"31,932",Hong Kong,Carlsberg Cup
5,1996-05-26,Yugoslavia,../vs/srb.html,H,W,1 - 0,0526.html,"50,632",Tokyo,Kirin Cup Soccer
6,1996-05-29,Mexico,../vs/mex.html,H,W,3 - 2,0529.html,"17,432",Fukuoka,Kirin Cup Soccer
7,1996-08-25,Uruguay,../vs/uru.html,H,W,5 - 3,0825.html,"40,876",Osaka,International Friendly
8,1996-09-11,Uzbekistan,../vs/uzb.html,H,W,1 - 0,0911.html,"44,843",Tokyo,Japan Football Association 75th Anniversary
9,1996-10-13,Tunisia,../vs/tun.html,H,W,1 - 0,1013.html,"30,824",Kobe,Puma Cup
10,1996-12-06,Syria,../vs/syr.html,N,W,2 - 1,1206.html,"10,000",Al Ain,AFC Asian Cup,../competitions/afc_asian_cup.html
11,1996-12-09,Uzbekistan,../vs/uzb.html,N,W,4 - 0,1209.html,"3,000",Al Ain,AFC Asian Cup,../competitions/afc_asian_cup.html
12,1996-12-12,China PR,../vs/chn.html,N,W,1 - 0,1212.html,"2,500",Al Ain,AFC Asian Cup,../competitions/afc_asian_cup.html
13,1996-12-15,Kuwait,../vs/kuw.html,N,L,0 - 2,1215.html,"3,000",Al Ain,AFC Asian Cup,../competitions/afc_asian_cup.html
