id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,1997-02-09,Thailand,../vs/tha.html,A,D,1 - 1,0209.html,"30,000",Bangkok,King's Cup
2,1997-02-13,Sweden,../vs/swe.html,N,L,0 - 1,0213.html,Bangkok,King's Cup
3,1997-03-15,Thailand,../vs/tha.html,A,L,1 - 3,0315.html,Bangkok,International Friendly
4,1997-03-23,Oman,../vs/oma.html,A,W,1 - 0,0323.html,Muscat,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
5,1997-03-25,Macau,../vs/mac.html,N,W,10 - 0,0325.html,Muscat,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
6,1997-03-27,Nepal,../vs/nep.html,N,W,6 - 0,0327.html,Muscat,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
7,1997-05-21,Korea Republic,../vs/kor.html,H,D,1 - 1,0521.html,"52,410",Tokyo,2002 FIFA World Cup Co-Host Anniversary
8,1997-06-08,Croatia,../vs/cro.html,H,W,4 - 3,0608.html,"50,136",Tokyo,Kirin Cup Soccer
9,1997-06-15,Turkey,../vs/tur.html,H,W,1 - 0,0615.html,"35,059",Osaka,Kirin Cup Soccer
10,1997-06-22,Macau,../vs/mac.html,H,W,10 - 0,0622.html,"27,342",Tokyo,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
11,1997-06-25,Nepal,../vs/nep.html,H,W,3 - 0,0625.html,"28,360",Tokyo,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
12,1997-06-28,Oman,../vs/oma.html,H,D,1 - 1,0628.html,"48,839",Tokyo,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
13,1997-08-13,Brazil,../vs/bra.html,H,L,0 - 3,0813.html,"45,754",Osaka,Nike Brazil World Tour
14,1997-09-07,Uzbekistan,../vs/uzb.html,H,W,6 - 3,0907.html,"54,328",Tokyo,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
15,1997-09-19,United Arab Emirates,../vs/uae.html,A,D,0 - 0,0919.html,Abu Dhabi,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
16,1997-09-28,Korea Republic,../vs/kor.html,H,L,1 - 2,0928.html,"56,704",Tokyo,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
17,1997-10-04,Kazakhstan,../vs/kaz.html,A,D,1 - 1,1004.html,"10,000",Almaty,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
18,1997-10-11,Uzbekistan,../vs/uzb.html,A,D,1 - 1,1011.html,"50,000",Tashkent,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
19,1997-10-26,United Arab Emirates,../vs/uae.html,H,D,1 - 1,1026.html,"56,089",Tokyo,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
20,1997-11-01,Korea Republic,../vs/kor.html,A,W,2 - 0,1101.html,"70,000",Seoul,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
21,1997-11-08,Kazakhstan,../vs/kaz.html,H,W,5 - 1,1108.html,"56,032",Tokyo,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
22,1997-11-16,Iran,../vs/irn.html,N,W,3 - 2,1116.html,"22,000",Johor Bahru,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
