id,Date,Opponent,Link,H/A,Form,Score,Link Match,Attendance,Venue,Competition
1,2005-01-29,Kazakhstan,../vs/kaz.html,H,W,4 - 0,0129.html,"46,941",Yokohama,Kirin Challenge Cup
2,2005-02-02,Syria,../vs/syr.html,H,W,3 - 0,0202.html,"32,832",Saitama,Kirin Challenge Cup
3,2005-02-09,Korea DPR,../vs/prk.html,H,W,2 - 1,0209.html,"59,399",Saitama,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
4,2005-03-25,Iran,../vs/irn.html,A,L,1 - 2,0325.html,"110,000",Tehran,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
5,2005-03-30,Bahrain,../vs/bhr.html,H,W,1 - 0,0330.html,"61,549",Saitama,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
6,2005-05-22,Peru,../vs/per.html,H,L,0 - 1,0522.html,"39,856",Niigata,Kirin Cup Soccer
7,2005-05-27,United Arab Emirates,../vs/uae.html,H,L,0 - 1,0527.html,"53,123",Tokyo,Kirin Cup Soccer
8,2005-06-03,Bahrain,../vs/bhr.html,A,W,1 - 0,0603.html,"32,000",Manama,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
9,2005-06-08,Korea DPR,../vs/prk.html,N,W,2 - 0,0608.html,0,Bangkok,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
10,2005-06-16,Mexico,../vs/mex.html,N,L,1 - 2,0616.html,"24,036",Hanover,FIFA Confederations Cup,../competitions/fifa_confederations_cup.html
11,2005-06-19,Greece,../vs/gre.html,N,W,1 - 0,0619.html,"34,314",Frankfurt,FIFA Confederations Cup,../competitions/fifa_confederations_cup.html
12,2005-06-22,Brazil,../vs/bra.html,N,D,2 - 2,0622.html,"44,922",Cologne,FIFA Confederations Cup,../competitions/fifa_confederations_cup.html
13,2005-07-31,Korea DPR,../vs/prk.html,N,L,0 - 1,0731.html,"23,150",Daejeon,East Asian Football Championship,../competitions/eaff_east_asian_cup.html
14,2005-08-03,China PR,../vs/chn.html,N,D,2 - 2,0803.html,"1,827",Daejeon,East Asian Football Championship,../competitions/eaff_east_asian_cup.html
15,2005-08-07,Korea Republic,../vs/kor.html,A,W,1 - 0,0807.html,"42,753",Daegu,East Asian Football Championship,../competitions/eaff_east_asian_cup.html
16,2005-08-17,Iran,../vs/irn.html,H,W,2 - 1,0817.html,"66,098",Yokohama,FIFA World Cup Qualifier,../competitions/fifa_world_cup_qualification.html
17,2005-09-07,Honduras,../vs/hon.html,H,W,5 - 4,0907.html,"45,198",Miyagi,Kirin Challenge Cup
18,2005-10-08,Latvia,../vs/lva.html,A,D,2 - 2,1008.html,Riga,International Friendly
19,2005-10-12,Ukraine,../vs/ukr.html,A,L,0 - 1,1012.html,Kiev,International Friendly
20,2005-11-16,Angola,../vs/ang.html,H,W,1 - 0,1116.html,"52,406",Tokyo,Kirin Challenge Cup
