Player,Link,Club,MP,GP,GS,G,PK,YC,RC
TSUDA Yukio (GK),../players/tsuda_yukio.html,Keio University,90,1,1,0,0,0,0
KASAHARA Takashi,../players/kasahara_takashi.html,Keio University,90,1,1,0,0,0,0
KAWAMOTO Taizo,../players/kawamoto_taizo.html,Waseda WMW,90,1,1,1,0,0,0
KIM Yong Sik,../players/kim_yong_sik.html,Waseda University,90,1,1,0,0,0,0
NINOMIYA Hirokazu,../players/ninomiya_hirokazu.html,Keio University,90,1,1,0,0,0,0
UKON Tokutaro,../players/ukon_tokutaro.html,Kobe Club,90,1,1,0,0,0,0
李　裕ネ瑩,../players_unknown/42.html,Keijo Soccer Club,90,1,1,0,0,0,0
末岡　圀孝,../players_unknown/43.html,Waseda University,90,1,1,0,0,0,0
篠崎　三郎,../players_unknown/44.html,Keio University,90,1,1,0,0,0,0
直木　和,../players_unknown/45.html,Tokyo Imperial University,90,1,1,0,0,0,0
金　成汗,../players_unknown/46.html,Keijo Soccer Club,90,1,1,0,0,0,0
